X,Y,C
3.510075835,-5.075235203,0
4.739776084,-4.199721219,0
0.85706971,-6.376872362,0
3.817929429,-5.025758953,0
3.302407259,-4.867991319,0
1.759417954,-5.015557722,0
2.58865849,-5.451895922,0
3.325042109,-4.725701712,0
6.394765411,-3.570080345,0
5.627318655,-3.441671818,0
1.719384806,-5.949902398,0
5.879181203,-3.708981724,0
3.688178873,-4.500977647,0
2.940180895,-4.641809691,0
3.678064655,-4.158776898,0
2.805552124,-5.056379501,0
2.88222633,-5.573808225,0
4.41325124,-4.63139925,0
4.336727487,-4.777031,0
4.344466773,-3.580732434,0
3.637038115,-4.932088182,0
1.854477324,-5.247591339,0
3.680432329,-4.76485571,0
4.546576991,-4.001971623,0
3.463805354,-5.061257836,0
3.981595977,-5.053972489,0
3.689583786,-5.190785136,0
2.712130663,-4.957267897,0
3.278790953,-4.938103788,0
2.253117953,-5.400488454,0
3.842806098,-4.129224497,0
1.911793748,-5.381708466,0
1.985980449,-5.381520028,0
2.232042109,-4.786250334,0
0.206806791,-6.522662875,0
4.36456736,-4.149983667,0
3.308502833,-4.570938344,0
2.283812112,-5.40350926,0
4.299979338,-4.346832507,0
1.376312959,-6.129221162,0
2.903004299,-5.444436878,0
2.770943224,-5.065138501,0
3.302826102,-4.612908481,0
3.296803725,-3.964191866,0
2.179502868,-5.597812338,0
2.971490837,-4.94717926,0
2.843582028,-5.098359393,0
3.59549542,-5.411125882,0
4.037162881,-4.692502582,0
4.05234905,-5.159714327,0
8.797250229,0.536147981,1
7.157538795,-0.381428998,1
8.094956399,0.03004677,1
7.483414499,-0.508633899,1
8.287945108,0.484110983,1
7.430480217,-0.299693127,1
8.464821917,-0.043214334,1
8.701421447,0.784191316,1
9.624039348,0.643214642,1
7.815838244,-0.287775956,1
5.971378071,-1.004306871,1
7.203496178,-0.650439214,1
9.285081015,0.17954696,1
6.982864185,0.43103658,1
8.911640886,0.983940568,1
8.117683973,0.159819187,1
9.36297009,0.166272198,1
6.139726921,-1.129358211,1
7.812446995,-0.145073738,1
6.854137162,-0.232590983,1
10.75877865,0.76045117,1
8.782871382,-0.466585593,1
9.308207684,0.07481695,1
6.996122063,-0.329571601,1
7.555432225,-0.060767303,1
7.741512822,0.043025267,1
9.042057089,0.417588585,1
7.736387538,-0.052942844,1
8.665540664,0.129331352,1
6.053476146,-0.563756415,1
7.664308417,-0.625248662,1
7.218677219,-0.188174894,1
6.503872342,-0.961656928,1
8.481907067,0.097103457,1
8.267513572,0.312149609,1
8.031761805,0.377385515,1
6.73476201,-0.953057776,1
9.069633093,0.916122489,1
8.332209358,0.378436593,1
7.716281052,-0.149823308,1
8.021715164,-0.058598723,1
7.751449307,-0.186542797,1
6.339602758,-0.843921648,1
7.729007694,-0.112384207,1
7.211296476,-0.33260364,1
7.071043333,-0.124075642,1
6.902941063,0.046253804,1
7.493823282,-0.061732766,1
6.100132925,-0.917701768,1
8.914748349,0.625123214,1
12.17382464,-2.17941229,0
11.02307673,-2.444960691,0
12.9005109,-1.518543734,0
12.29130451,-1.721464979,0
12.12823821,-2.073340276,0
12.48880559,-1.86541829,0
12.24799181,-1.182293114,0
11.10682817,-3.186492465,0
11.84599296,-1.289026787,0
11.86144041,-1.943568776,0
11.49528969,-1.87469148,0
13.59578359,-1.872559659,0
11.1692102,-2.575517737,0
11.54101274,-2.301206388,0
11.32453318,-2.152424825,0
10.88604437,-3.07899848,0
11.81762558,-1.916170546,0
11.73999415,-2.539573114,0
13.45155424,-1.331724546,0
11.76375439,-1.876932508,0
10.99039851,-2.334370644,0
13.52117316,-0.945431175,0
13.17131949,-1.127686037,0
11.78215722,-2.324378277,0
10.57113144,-2.5451851,0
11.57818902,-2.517628815,0
11.85206134,-2.527851679,0
12.26190134,-1.56027753,0
11.75223841,-2.110098834,0
12.42066696,-1.83223672,0
12.37178349,-1.516230114,0
10.81350181,-2.319464315,0
11.10068531,-2.277264056,0
11.29692503,-1.875386249,0
11.51824197,-1.889057542,0
11.69587537,-2.05134456,0
12.01182917,-2.236094868,0
9.126270049,-3.504998386,0
11.56643784,-1.775931962,0
13.17869005,-2.039638413,0
10.9880382,-2.458312766,0
12.88581231,-2.28762836,0
12.33234368,-1.495522581,0
11.97248272,-1.710971343,0
12.17308932,-1.922665144,0
10.5152575,-2.684650455,0
11.91979881,-2.904857166,0
13.52163711,-1.12053728,0
12.09330089,-2.725014652,0
12.03925046,-2.793382589,0
7.451440991,-5.288934644,1
8.339761563,-4.687849431,1
7.021448291,-5.948340061,1
6.95458709,-6.366256036,1
8.614027771,-4.863909884,1
6.516445011,-6.42210769,1
6.997291547,-6.165450496,1
7.872662535,-5.302269839,1
7.142121043,-6.42111202,1
8.332836895,-6.091715,1
7.981053833,-5.416903812,1
7.276607863,-5.736963986,1
6.262210386,-6.294644516,1
7.537615123,-5.587417617,1
5.688330398,-6.204609763,1
7.231929042,-5.557649017,1
7.76695239,-5.85790587,1
7.202109101,-5.627005107,1
7.834535033,-5.568527749,1
8.934247847,-5.317073463,1
7.876519283,-6.027619098,1
7.253220124,-5.661274774,1
7.608733554,-5.853079257,1
7.40365085,-5.804365975,1
5.752743771,-6.831552887,1
6.604957631,-6.71763882,1
8.161840885,-5.423639178,1
6.958652392,-6.040100736,1
7.552535236,-5.335245102,1
6.04515019,-6.144099586,1
7.061205956,-5.604558965,1
7.569486946,-6.008704212,1
5.708353502,-6.901407615,1
7.329755324,-6.297118557,1
6.827488376,-5.902576338,1
6.10867906,-5.421071652,1
6.964392891,-5.761464052,1
5.201007599,-7.069817668,1
4.981223981,-6.604744158,1
5.883472493,-6.890702052,1
6.060298626,-6.915644,1
5.887163823,-6.243773907,1
5.363115474,-6.999462298,1
7.273437175,-5.768002771,1
5.487624531,-6.180438043,1
7.104562781,-5.813293297,1
7.74667701,-5.343131574,1
6.997887485,-6.562332082,1
7.088330726,-5.729466878,1
6.641248716,-5.41181832,1
5.593409937,-6.435967204,1
6.95843004,-6.557170745,1
7.911518831,-5.66589984,1
